,ts_code
0,000001.SZ
1,000002.SZ
2,000009.SZ
3,000012.SZ
4,000024.SZ
5,000039.SZ
6,000060.SZ
7,000061.SZ
8,000063.SZ
9,000069.SZ
10,000157.SZ
11,000401.SZ
12,000402.SZ
13,000425.SZ
14,000528.SZ
15,000568.SZ
16,000625.SZ
17,000630.SZ
18,000651.SZ
19,000709.SZ
20,000729.SZ
21,000758.SZ
22,000778.SZ
23,000792.SZ
24,000800.SZ
25,000839.SZ
26,000858.SZ
27,000878.SZ
28,000933.SZ
29,000937.SZ
30,000960.SZ
31,000983.SZ
32,000538.SZ
33,002024.SZ
34,000768.SZ
35,000562.SZ
36,000876.SZ
37,000338.SZ
38,000423.SZ
39,000718.SZ
40,000895.SZ
41,002142.SZ
42,000686.SZ
43,000728.SZ
44,000783.SZ
45,002155.SZ
46,002202.SZ
47,000100.SZ
48,000623.SZ
49,002001.SZ
50,000999.SZ
51,002007.SZ
52,000961.SZ
53,002304.SZ
54,000776.SZ
55,002146.SZ
56,002385.SZ
57,002399.SZ
58,002415.SZ
59,002422.SZ
60,000869.SZ
61,002069.SZ
62,002106.SZ
63,002310.SZ
64,002500.SZ
65,000581.SZ
66,000629.SZ
67,002038.SZ
68,002299.SZ
69,002344.SZ
70,002431.SZ
71,002594.SZ
72,002603.SZ
73,000046.SZ
74,000703.SZ
75,000725.SZ
76,002081.SZ
77,002241.SZ
78,002353.SZ
79,002570.SZ
80,000596.SZ
81,000750.SZ
82,000970.SZ
83,002236.SZ
84,002375.SZ
85,002673.SZ
86,000156.SZ
87,000656.SZ
88,000963.SZ
89,002051.SZ
90,002269.SZ
91,002294.SZ
92,002450.SZ
93,000333.SZ
94,000400.SZ
95,000536.SZ
96,000598.SZ
97,000793.SZ
98,000826.SZ
99,000831.SZ
100,002065.SZ
101,002129.SZ
102,002230.SZ
103,002456.SZ
104,002653.SZ
105,600000.SH
106,600009.SH
107,600010.SH
108,600015.SH
109,600016.SH
110,600019.SH
111,600028.SH
112,600029.SH
113,600030.SH
114,600031.SH
115,600036.SH
116,600050.SH
117,600058.SH
118,600085.SH
119,600096.SH
120,600100.SH
121,600104.SH
122,600108.SH
123,600123.SH
124,600153.SH
125,600170.SH
126,600177.SH
127,600188.SH
128,600196.SH
129,600221.SH
130,600256.SH
131,600266.SH
132,600309.SH
133,600348.SH
134,600362.SH
135,600519.SH
136,600583.SH
137,600585.SH
138,600598.SH
139,600600.SH
140,600642.SH
141,600649.SH
142,600660.SH
143,600690.SH
144,600694.SH
145,600739.SH
146,600741.SH
147,600795.SH
148,600811.SH
149,600832.SH
150,600839.SH
151,600895.SH
152,600900.SH
153,600997.SH
154,600383.SH
155,600271.SH
156,600143.SH
157,600415.SH
158,600549.SH
159,600655.SH
160,600809.SH
161,600875.SH
162,601988.SH
163,601006.SH
164,601398.SH
165,600048.SH
166,600066.SH
167,600068.SH
168,600118.SH
169,600150.SH
170,600316.SH
171,600489.SH
172,600497.SH
173,600547.SH
174,601001.SH
175,601111.SH
176,601628.SH
177,601166.SH
178,601318.SH
179,601600.SH
180,601998.SH
181,601328.SH
182,600208.SH
183,600219.SH
184,600528.SH
185,600837.SH
186,601333.SH
187,601666.SH
188,601699.SH
189,601088.SH
190,601857.SH
191,600089.SH
192,600109.SH
193,600111.SH
194,601009.SH
195,601168.SH
196,601169.SH
197,601808.SH
198,600376.SH
199,600804.SH
200,601390.SH
201,601601.SH
202,601866.SH
203,601898.SH
204,601918.SH
205,601939.SH
206,600588.SH
207,600664.SH
208,600674.SH
209,601186.SH
210,601899.SH
211,601958.SH
212,600216.SH
213,600352.SH
214,600395.SH
215,600516.SH
216,600518.SH
217,600718.SH
218,600970.SH
219,601766.SH
220,600062.SH
221,600166.SH
222,600369.SH
223,601618.SH
224,601668.SH
225,600863.SH
226,600999.SH
227,601117.SH
228,601299.SH
229,601607.SH
230,601688.SH
231,601888.SH
232,601989.SH
233,601288.SH
234,600115.SH
235,600276.SH
236,600406.SH
237,600535.SH
238,600546.SH
239,600703.SH
240,600887.SH
241,600893.SH
242,601101.SH
243,601106.SH
244,601158.SH
245,601369.SH
246,601818.SH
247,600267.SH
248,600859.SH
249,600971.SH
250,601018.SH
251,601098.SH
252,601118.SH
253,601377.SH
254,601717.SH
255,601933.SH
256,600160.SH
257,600252.SH
258,600259.SH
259,600372.SH
260,600498.SH
261,600783.SH
262,600873.SH
263,601099.SH
264,601258.SH
265,601992.SH
266,600011.SH
267,600315.SH
268,600827.SH
269,601336.SH
270,601555.SH
271,601633.SH
272,601669.SH
273,601901.SH
274,601928.SH
275,600027.SH
276,600157.SH
277,600340.SH
278,600582.SH
279,600637.SH
280,600886.SH
281,601238.SH
282,601800.SH
283,600060.SH
284,600332.SH
285,600403.SH
286,600436.SH
287,601139.SH
288,601991.SH
289,603993.SH
290,600008.SH
291,600018.SH
292,600079.SH
293,600597.SH
294,600648.SH
295,600663.SH
296,600688.SH
297,600705.SH
298,601231.SH
299,603000.SH
