,ts_code
0,600104.SH
1,600000.SH
2,600050.SH
3,600036.SH
4,600030.SH
5,600016.SH
6,600015.SH
7,600028.SH
8,600519.SH
9,601006.SH
10,601398.SH
11,600048.SH
12,600362.SH
13,601628.SH
14,601166.SH
15,601318.SH
16,601328.SH
17,601088.SH
18,601857.SH
19,601601.SH
20,601169.SH
21,600837.SH
22,601899.SH
23,600547.SH
24,601668.SH
25,600489.SH
26,601699.SH
27,601288.SH
28,601818.SH
29,600031.SH
30,600111.SH
31,600585.SH
32,601989.SH
33,601766.SH
34,601299.SH
35,600010.SH
36,600256.SH
37,600887.SH
38,601901.SH
39,601336.SH
40,601688.SH
41,600549.SH
42,600383.SH
43,600518.SH
44,600999.SH
45,600332.SH
46,600406.SH
47,601117.SH
48,600018.SH
49,600637.SH
