,ts_code
0,000001.SZ
1,000002.SZ
2,000006.SZ
3,000009.SZ
4,000012.SZ
5,000021.SZ
6,000024.SZ
7,000028.SZ
8,000031.SZ
9,000039.SZ
10,000042.SZ
11,000050.SZ
12,000060.SZ
13,000061.SZ
14,000063.SZ
15,000066.SZ
16,000069.SZ
17,000078.SZ
18,000090.SZ
19,000099.SZ
20,000157.SZ
21,000401.SZ
22,000402.SZ
23,000417.SZ
24,000422.SZ
25,000425.SZ
26,000426.SZ
27,000488.SZ
28,000501.SZ
29,000510.SZ
30,000511.SZ
31,000525.SZ
32,000528.SZ
33,000538.SZ
34,000541.SZ
35,000543.SZ
36,000562.SZ
37,000563.SZ
38,000568.SZ
39,000572.SZ
40,000581.SZ
41,000608.SZ
42,000616.SZ
43,000625.SZ
44,000627.SZ
45,000630.SZ
46,000651.SZ
47,000680.SZ
48,000683.SZ
49,000709.SZ
50,000726.SZ
51,000729.SZ
52,000758.SZ
53,000759.SZ
54,000762.SZ
55,000768.SZ
56,000777.SZ
57,000778.SZ
58,000786.SZ
59,000792.SZ
60,000800.SZ
61,000816.SZ
62,000823.SZ
63,000830.SZ
64,000839.SZ
65,000858.SZ
66,000860.SZ
67,000878.SZ
68,000897.SZ
69,000900.SZ
70,000919.SZ
71,000926.SZ
72,000927.SZ
73,000933.SZ
74,000937.SZ
75,000960.SZ
76,000962.SZ
77,000969.SZ
78,000973.SZ
79,000975.SZ
80,000983.SZ
81,000987.SZ
82,000988.SZ
83,000997.SZ
84,000998.SZ
85,001696.SZ
86,002001.SZ
87,002008.SZ
88,002024.SZ
89,002041.SZ
90,002048.SZ
91,000612.SZ
92,000876.SZ
93,000886.SZ
94,000939.SZ
95,002056.SZ
96,002064.SZ
97,002083.SZ
98,002092.SZ
99,000338.SZ
100,000423.SZ
101,000718.SZ
102,000895.SZ
103,000951.SZ
104,002129.SZ
105,002142.SZ
106,000667.SZ
107,000686.SZ
108,000712.SZ
109,000728.SZ
110,000783.SZ
111,000850.SZ
112,000852.SZ
113,000930.SZ
114,002028.SZ
115,002073.SZ
116,002155.SZ
117,002181.SZ
118,002183.SZ
119,002191.SZ
120,002202.SZ
121,000100.SZ
122,000400.SZ
123,000623.SZ
124,000685.SZ
125,000690.SZ
126,000735.SZ
127,000887.SZ
128,000931.SZ
129,000540.SZ
130,000877.SZ
131,000999.SZ
132,002011.SZ
133,002122.SZ
134,002123.SZ
135,002161.SZ
136,002233.SZ
137,002237.SZ
138,002238.SZ
139,002249.SZ
140,002252.SZ
141,002254.SZ
142,002230.SZ
143,000631.SZ
144,000636.SZ
145,000780.SZ
146,000861.SZ
147,000961.SZ
148,002007.SZ
149,002022.SZ
150,002025.SZ
151,002078.SZ
152,002091.SZ
153,002106.SZ
154,002179.SZ
155,002225.SZ
156,002276.SZ
157,002277.SZ
158,000088.SZ
159,000513.SZ
